POINT_ID,Landcover,Landuse,Clay_SOC_score,OC_score,P_score,N_score,K_score,bulk_density_score,EC_score,erosion_score,pH_score,SHI
27161812,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,3,4,4,2,3,4,4,3,3.15
27902146,Woodland,Forestry,4,4,3,4,3,4,4,4,1,3.65
27561988,Woodland,Forestry,3,2,3,4,3,4,4,4,1,3.05
27061758,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,3,3,4,4,3,4,4,3,3.25
27381902,Woodland,Forestry,4,2,1,4,3,3,4,2,1,2.6
27722056,Woodland,Forestry,4,4,1,4,3,4,4,1,1,3.15
27982170,Cropland,Residential,4,4,4,4,3,3,4,4,2,3.65
27221822,Woodland,Forestry,2,2,3,4,4,3,4,1,2,2.65
28222270,Grassland,Forestry,4,4,1,4,3,4,4,4,1,3.45
27421902,Grassland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,2,4,2,3,2.3
31083442,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1,3.85
28582414,Woodland,Forestry,4,3,3,4,3,4,4,4,1,3.4
28482368,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,2,3.8
27561952,Woodland,Forestry,3,1,1,4,2,2,4,4,1,2.2
27201772,Woodland,Forestry,2,3,3,4,4,4,4,4,1,3.3
27461892,Woodland,Forestry,3,2,3,4,3,3,4,4,1,2.9
28022146,Woodland,Forestry,4,4,3,4,2,4,4,4,1,3.55
27922096,Woodland,Forestry,4,4,1,4,3,4,4,4,1,3.45
27481894,Woodland,Forestry,3,2,3,4,3,3,4,4,2,2.95
28402306,Woodland,Forestry,4,4,3,4,3,4,4,4,1,3.65
28742448,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1,3.85
27501892,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,2,4,2,4,4,2,1,2.4
28482326,Woodland,Forestry,3,4,3,4,2,4,4,4,1,3.45
27241758,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,3,1,4,4,4,4,4,3,3.2
28202196,Grassland,Other abandoned areas,4,3,4,4,4,4,4,2,2,3.45
28042122,Woodland,Forestry,4,3,3,4,3,4,4,4,1,3.4
28022110,Woodland,Forestry,3,4,3,4,3,4,4,4,1,3.55
28382268,Bareland,Forestry,4,4,3,4,3,4,4,4,1,3.65
27321784,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,2,4,2,2,4,1,1,2.25
31163428,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,2,3.8
28822460,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
27862032,Woodland,Forestry,2,2,1,4,3,3,4,4,1,2.6
27681946,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,3,4,4,2,2.6
27922046,Woodland,Forestry,4,4,2,4,2,4,4,4,1,3.45
27401804,Woodland,Forestry,2,1,3,4,3,2,4,4,2,2.45
28542318,Woodland,Forestry,4,3,4,4,4,3,4,4,1,3.45
28102114,Woodland,Forestry,4,2,4,4,4,3,4,4,1,3.2
27481828,Woodland,Forestry,3,3,4,4,3,3,4,4,3,3.35
31123392,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2,3.9
28602334,Woodland,Forestry,4,4,2,4,3,4,4,4,1,3.55
27321748,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,4,3,4,4,4,4,4,4,3.8
28282190,Grassland,Other abandoned areas,4,4,4,4,4,4,4,3,1,3.75
27641896,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,2,4,3,3,4,4,1,2.45
28802416,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
28362220,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,3,4,4,4,4,1,2,2.9
28502280,Shrubland,Forestry,4,4,4,4,4,4,4,4,1,3.85
31163396,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,3,3.85
27421780,Woodland,Forestry,1,1,3,4,3,3,4,3,2,2.4
27541828,Grassland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,4,4,2,2,2.65
27661882,Woodland,Forestry,4,3,3,4,4,4,4,4,2,3.55
28562290,Woodland,Semi-natural and natural areas not in use,4,4,4,4,4,3,4,4,1,3.7
27501802,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,3,3,4,4,2,2.95
28762374,Woodland,Forestry,4,4,4,4,2,4,4,4,1,3.65
27741908,Grassland,Fallow land,3,1,4,4,4,4,4,2,2,2.85
27541810,Woodland,Forestry,3,3,4,4,3,4,4,2,2,3.25
28202116,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,4,2,4,4,1,3.05
27561812,Woodland,Forestry,2,2,2,4,3,2,4,2,2,2.4
27501780,Shrubland,Other abandoned areas,2,1,4,4,4,2,4,4,2,2.65
28102060,Woodland,Forestry,4,4,1,4,3,4,4,1,1,3.15
27421740,Woodland,Forestry,1,2,3,4,4,3,4,4,3,2.9
27741890,Grassland,Fallow land,1,1,3,4,1,3,4,4,2,2.3
27541792,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,1,1,4,3,2,4,4,2,2.25
28282136,Woodland,Forestry,4,4,1,4,3,4,4,4,1,3.45
27921970,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,4,4,4,1,2,3.0
27781902,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,3,4,2,1,2.35
28742340,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,4,2,4,4,2,3.35
27901954,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,2,4,3,3,4,4,3,2.45
27881938,Woodland,Forestry,2,2,3,4,3,4,4,4,2,3.0
27741866,Woodland,Forestry,3,3,2,4,4,4,4,4,1,3.3
28902396,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
28482206,Shrubland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,2,4,4,4,1,3.65
28142050,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
27601794,Shrubland,Semi-natural and natural areas not in use,2,2,3,4,4,3,4,3,2,2.85
28362148,Woodland,Forestry,4,3,4,4,3,4,4,1,1,3.2
27981972,Grassland,Forestry,2,1,4,4,3,3,4,4,1,2.65
28262098,Woodland,Forestry,4,4,4,4,2,4,4,4,1,3.65
28782334,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,4,4,4,1,3.5
28602250,Grassland,Fallow land,4,4,4,4,2,4,4,4,1,3.65
27821886,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,3,4,3,2,2.7
28722300,Woodland,Forestry,4,3,4,4,3,4,4,4,1,3.5
28662272,Grassland,Fallow land,3,1,4,4,4,1,4,4,1,2.55
28182048,Woodland,Forestry,4,4,2,4,3,4,4,2,1,3.35
28122020,Woodland,Forestry,1,1,3,4,2,4,4,2,1,2.3
28542210,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,2,3,4,4,1,3.5
28262080,Shrubland,Other abandoned areas,4,4,4,4,2,4,4,4,1,3.65
28622242,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,3,3,4,4,1,3.6
28742296,Woodland,Forestry,4,4,2,4,3,4,4,4,1,3.55
28642250,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,3,3,4,2,1,3.15
27741830,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,2,4,4,4,3,4,2,3,2.8
29002406,Woodland,Forestry,4,4,3,4,3,4,4,4,1,3.65
28942378,Woodland,Forestry,4,4,2,4,2,4,4,4,1,3.45
28602222,Grassland,Semi-natural and natural areas not in use,3,3,4,4,4,2,4,4,3,3.3
29042420,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,3,4,4,4,1,3.75
28542192,Bareland,Semi-natural and natural areas not in use,4,4,4,4,3,3,4,4,1,3.6
28782298,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1,3.85
28762288,Woodland,Semi-natural and natural areas not in use,4,4,2,4,3,4,4,3,1,3.45
28262056,Woodland,Forestry,4,4,3,4,2,4,4,4,1,3.55
28242042,Grassland,Forestry,2,1,3,4,2,4,4,1,1,2.3
28582198,Woodland,Semi-natural and natural areas not in use,4,3,3,4,3,4,4,4,1,3.4
28882332,Shrubland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1,3.85
27641752,Woodland,Forestry,3,3,3,4,4,4,4,4,1,3.4
27821838,Grassland,Fallow land,1,2,3,4,4,4,4,4,3,3.05
28382100,Shrubland,Forestry,4,4,4,4,3,4,4,4,1,3.75
29082418,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1,3.85
28782280,Shrubland,Forestry,4,4,3,4,3,4,4,4,1,3.65
29142438,Shrubland,Other abandoned areas,4,4,3,4,3,4,4,4,1,3.65
28282042,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,4,4,2,1,3.3
27801810,Woodland,Forestry,4,4,4,4,4,4,4,1,1,3.55
27881848,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,2,4,4,3,4,4,3,2.55
28962348,Woodland,Forestry,4,4,4,4,2,4,4,4,1,3.65
27781794,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,3,4,3,3,4,1,2,2.4
27841822,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,3,3,4,4,3,4,4,2,3.2
28622188,Woodland,Forestry,4,3,2,4,3,4,4,4,1,3.3
28862294,Shrubland,Semi-natural and natural areas not in use,4,4,1,4,2,4,4,4,1,3.35
28542144,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1,3.75
27921848,Grassland,Fallow land,2,3,3,4,4,4,4,4,3,3.4
28642186,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,4,4,4,1,1,3.05
28882296,Woodland,Forestry,4,4,3,4,3,4,4,4,1,3.65
29082382,Woodland,Forestry,4,4,2,4,4,4,4,4,1,3.65
28722216,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,3,4,2,4,4,4,1,3.45
28181964,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,3,4,4,4,2,3.2
29042356,Woodland,Forestry,4,4,4,4,4,4,4,4,1,3.85
28942306,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,1,3.75
28402054,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,4,3,4,4,1,3.45
28722202,Shrubland,Other abandoned areas,3,1,2,4,4,3,4,3,1,2.55
28522106,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
28201948,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,4,4,4,4,2,3.3
27961830,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,4,4,4,2,2.85
28822226,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,3,4,4,1,1,2.85
27921800,Woodland,Forestry,2,2,4,4,4,4,4,4,1,3.15
29082342,Woodland,Semi-natural and natural areas not in use,4,4,2,4,4,4,4,4,1,3.65
28762194,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,4,3,4,2,2,3.05
28662146,Grassland,Semi-natural and natural areas not in use,4,3,4,4,3,4,4,4,1,3.5
28001832,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,4,3,4,4,4,3.05
29322442,Woodland,Forestry,4,4,1,4,2,4,4,4,1,3.35
28722166,Shrubland,Semi-natural and natural areas not in use,4,2,2,4,2,4,4,4,1,2.95
28241938,Woodland,Forestry,1,2,3,4,4,4,4,4,2,3.0
29222392,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,4,1,3.85
28281952,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,2,1,4,3,4,4,1,2,2.5
31523384,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,1,3.75
29122342,Woodland,Forestry,4,4,3,4,2,4,4,4,1,3.55
29102326,Woodland,Forestry,4,4,2,4,2,4,4,4,1,3.45
28101854,Woodland,Forestry,1,2,3,4,4,3,4,2,2,2.65
29182358,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,4,4,4,2,3.55
28762162,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,2,4,1,2,2.35
28722138,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,2,4,4,1,2.6
28502024,Woodland,Forestry,2,1,4,4,3,2,4,4,2,2.55
28962240,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,4,4,4,1,1,2.85
29082288,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,3,4,4,2,1,3.55
28902202,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,3,4,4,3,4,4,1,2.65
31983538,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,4,4.0
28962222,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,3,4,4,1,2.75
31703420,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,1,3.75
28542018,Woodland,Forestry,3,1,3,4,3,2,4,4,2,2.55
28662074,Woodland,Forestry,4,3,4,4,3,4,4,4,1,3.5
29242344,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,3,4,1,3.8
29122288,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,1,4,3,4,4,4,1,3.45
29402410,Woodland,Forestry,4,4,1,4,2,4,4,4,1,3.35
29262342,Woodland,Forestry,3,3,1,4,3,4,4,2,1,2.9
28862140,Shrubland,Semi-natural and natural areas not in use,3,2,4,4,4,3,4,4,2,3.15
29482428,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
28822118,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,4,3,4,4,1,3.2
29162278,Shrubland,Semi-natural and natural areas not in use,4,3,4,4,4,4,4,4,1,3.6
29302338,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2,3.9
28802092,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,2,4,3,2,4,4,1,2.4
29262306,Woodland,Forestry,4,4,3,4,3,4,4,4,1,3.65
29082220,Grassland,Fallow land,3,2,4,4,4,4,4,4,2,3.3
29222276,Shrubland,Semi-natural and natural areas not in use,4,4,3,4,4,4,4,4,1,3.75
31803412,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,4,3.9
29322312,Woodland,Forestry,4,4,1,4,2,4,4,4,1,3.35
29102206,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,3,2,4,4,2,2.55
32483682,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,4,2,4,2,2,2.6
29262270,Shrubland,Semi-natural and natural areas not in use,4,3,3,4,3,3,4,4,2,3.3
31963440,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,4,3,4,3,3,3.0
32463644,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1,3.85
28301756,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,4,4,4,4,2.85
29182186,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,3,4,1,2,2.3
29222204,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,1,4,3,4,4,1,3,2.9
29542352,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,4,1,3.85
28621900,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,4,3,2.75
28681916,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,2,4,1,3,2.3
29662386,Bareland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,3,1,3.75
28721932,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,2,4,1,3,2.3
29402258,Woodland,Forestry,4,4,4,4,3,4,4,2,1,3.55
29502304,Woodland,Forestry,4,4,4,4,4,4,4,4,2,3.9
29122112,Grassland,Agriculture (excluding fallow land and kitchen gardens),1,2,2,4,3,4,4,2,1,2.55
28441774,Shrubland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,2,3.8
29422254,Woodland,Forestry,4,4,1,4,3,4,4,2,1,3.25
29142114,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,3,4,4,4,4,4,1,3.65
28421754,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,4,2,2.7
29342206,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,4,3,4,4,2,3.15
32543634,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2,3.9
29342200,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,3,4,4,1,2,2.7
29382218,Bareland,Fallow land,3,2,4,4,3,3,4,4,1,3.0
29582312,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,4,3,4,4,1,3.0
29462254,Shrubland,Semi-natural and natural areas not in use,4,4,2,4,3,4,4,4,1,3.55
28761906,Bareland,Fallow land,1,1,4,4,4,4,4,3,4,2.85
29122076,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,3,4,4,1,3.35
29182100,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,1,4,1,2,2.2
29382188,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,3,4,2,4,4,2,2,2.45
29542262,Woodland,Forestry,3,2,4,4,4,4,4,4,2,3.3
28501736,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,1,4,4,4,4,4,4,2.65
29582266,Shrubland,Semi-natural and natural areas not in use,4,4,3,4,3,4,4,4,1,3.65
29822380,Woodland,Forestry,4,4,4,4,3,4,4,4,1,3.75
32243468,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,1,4,4,2,3.1
29342128,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,4,3,4,2,2,2.7
29722312,Woodland,Forestry,4,4,4,4,4,3,4,4,1,3.7
29702300,Shrubland,Semi-natural and natural areas not in use,3,3,4,4,4,2,4,4,1,3.2
29282088,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,3,3,4,3,1,3.0
29402144,Woodland,Forestry,4,2,4,4,4,4,4,2,1,3.15
29742308,Woodland,Forestry,3,3,4,4,4,3,4,4,1,3.35
32383504,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,1,3.75
29562218,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,3,4,4,4,3,4,4,2,3.3
29942392,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1,3.75
28921890,Grassland,Fallow land,1,1,4,4,4,3,4,4,2,2.7
29382110,Bareland,Fallow land,3,2,4,4,4,3,4,4,2,3.15
28941888,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,3,4,4,2,2.6
29702264,Woodland,Forestry,4,4,3,4,3,4,4,4,1,3.65
30022410,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1,3.85
30002398,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1,3.75
28901850,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,3,4,3,4,4,1,4,2.55
30002386,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,3,4,3,4,4,4,4,3.8
28601668,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,1,2,2.4
29041888,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,2,4,4,3,4,4,3,2.55
32423468,Shrubland,Agriculture (excluding fallow land and kitchen gardens),4,4,3,4,3,4,4,4,1,3.65
28661678,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,4,4,2,3,2.6
29962314,Woodland,Forestry,4,4,2,4,3,4,4,4,1,3.55
29482076,Woodland,Forestry,4,4,1,4,3,4,4,4,1,3.45
29682168,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,3,2,4,2,1,2.65
28721676,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,2,2,4,4,3,4,1,2,2.45
29922282,Shrubland,Semi-natural and natural areas not in use,4,4,1,4,3,4,4,1,1,3.15
30042340,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,4,1,3.85
30102368,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2,3.9
29181908,Bareland,Fallow land,2,1,4,4,3,3,4,2,2,2.5
29722178,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,3,4,4,3,4,4,2,3.05
29902262,Woodland,Forestry,4,4,1,4,3,3,4,4,1,3.3
33023682,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,3,4,1,3.8
29702138,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,2,4,4,1,2.6
29962260,Grassland,Fallow land,3,2,4,4,3,2,4,4,1,2.85
29642098,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,3,4,4,4,2,3.0
30282408,Woodland,Forestry,3,3,3,4,3,4,4,4,1,3.3
29702110,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,4,4,4,4,2,3.65
29922218,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,3,4,4,4,1,3.4
