POINT_ID,Landcover,Landuse,Clay_SOC_score,OC_score,P_score,N_score,K_score,bulk_density_score,EC_score,erosion_score,pH_score
27722228,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
28082380,Shrubland,Other abandoned areas,4,1,4,4,4,4,4,4,2
27762242,Woodland,Forestry,4,4,3,4,1,4,4,4,1
27742232,Woodland,Forestry,4,4,1,4,2,4,4,4,1
26761786,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,4,1,4,4,4,4,4,1
27302020,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,3,4,3,3,4,4,3
27522114,Woodland,Forestry,2,1,3,4,1,3,4,4,2
27001882,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,2,4,4,1
27201962,Woodland,Forestry,3,1,2,4,2,2,4,4,1
27542110,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,3,4,3,2
27562118,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,3,2,4,4,1
31103548,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,2
27382028,Cropland,Other abandoned areas,3,3,3,4,4,4,4,4,2
30623360,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,3
28322424,Woodland,Forestry,4,4,4,4,3,4,4,4,1
28222378,Woodland,Forestry,4,4,2,4,3,4,4,4,1
26841764,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,4,3,4,4,4,4,4,3
28142338,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,4,2
28162332,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1
28362414,Woodland,Forestry,4,4,2,4,2,4,4,4,1
27281940,Woodland,Forestry,4,1,1,4,2,3,4,4,2
28342404,Woodland,Forestry,4,4,4,4,4,4,4,4,1
30663346,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,3,4,4,4,3
27241916,Woodland,Forestry,3,3,3,4,4,3,4,4,2
28422424,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,2,4,4,2,4,4,1
28022250,Shrubland,Other abandoned areas,4,3,4,4,3,4,4,4,1
28262354,Woodland,Forestry,4,4,4,4,4,4,4,4,1
27081828,Woodland,Forestry,2,1,3,4,3,3,4,2,1
31063480,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,3,3,4,4,1
28362378,Woodland,Forestry,4,4,3,4,3,4,4,4,1
27101814,Woodland,Forestry,2,3,4,4,4,3,4,4,2
28442408,Shrubland,Forestry,4,4,1,4,3,4,4,2,2
27341920,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,4,3
27181846,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,2,4,4,2
28282334,Woodland,Forestry,4,4,2,4,3,4,4,4,1
27221858,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,2,4,4,1
28402378,Woodland,Semi-natural and natural areas not in use,4,4,1,4,2,4,4,4,2
28362360,Grassland,Road transport,4,4,4,4,4,4,4,4,2
30823370,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
28382362,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,2,4,4,3
27161812,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,3,4,4,2,3,4,4,3
27902146,Woodland,Forestry,4,4,3,4,3,4,4,4,1
27561988,Woodland,Forestry,3,2,3,4,3,4,4,4,1
27061758,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,3,3,4,4,3,4,4,3
27381902,Woodland,Forestry,4,2,1,4,3,3,4,2,1
27722056,Woodland,Forestry,4,4,1,4,3,4,4,1,1
27982170,Cropland,Residential,4,4,4,4,3,3,4,4,2
27221822,Woodland,Forestry,2,2,3,4,4,3,4,1,2
28222270,Grassland,Forestry,4,4,1,4,3,4,4,4,1
27421902,Grassland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,2,4,2,3
31083442,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1
28582414,Woodland,Forestry,4,3,3,4,3,4,4,4,1
28482368,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,2
27561952,Woodland,Forestry,3,1,1,4,2,2,4,4,1
27201772,Woodland,Forestry,2,3,3,4,4,4,4,4,1
27461892,Woodland,Forestry,3,2,3,4,3,3,4,4,1
28022146,Woodland,Forestry,4,4,3,4,2,4,4,4,1
27922096,Woodland,Forestry,4,4,1,4,3,4,4,4,1
27481894,Woodland,Forestry,3,2,3,4,3,3,4,4,2
28402306,Woodland,Forestry,4,4,3,4,3,4,4,4,1
28742448,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1
27501892,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,2,4,2,4,4,2,1
28482326,Woodland,Forestry,3,4,3,4,2,4,4,4,1
27241758,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,3,1,4,4,4,4,4,3
28202196,Grassland,Other abandoned areas,4,3,4,4,4,4,4,2,2
28042122,Woodland,Forestry,4,3,3,4,3,4,4,4,1
28022110,Woodland,Forestry,3,4,3,4,3,4,4,4,1
28382268,Bareland,Forestry,4,4,3,4,3,4,4,4,1
27321784,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,2,4,2,2,4,1,1
31163428,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,2
28822460,Woodland,Forestry,4,4,4,4,3,4,4,4,1
27862032,Woodland,Forestry,2,2,1,4,3,3,4,4,1
27681946,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,3,4,4,2
27922046,Woodland,Forestry,4,4,2,4,2,4,4,4,1
27401804,Woodland,Forestry,2,1,3,4,3,2,4,4,2
28542318,Woodland,Forestry,4,3,4,4,4,3,4,4,1
28102114,Woodland,Forestry,4,2,4,4,4,3,4,4,1
27481828,Woodland,Forestry,3,3,4,4,3,3,4,4,3
31123392,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
28602334,Woodland,Forestry,4,4,2,4,3,4,4,4,1
27321748,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,4,3,4,4,4,4,4,4
28282190,Grassland,Other abandoned areas,4,4,4,4,4,4,4,3,1
27641896,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,2,4,3,3,4,4,1
28802416,Woodland,Forestry,4,4,4,4,3,4,4,4,1
28362220,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,3,4,4,4,4,1,2
28502280,Shrubland,Forestry,4,4,4,4,4,4,4,4,1
31163396,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,3
27421780,Woodland,Forestry,1,1,3,4,3,3,4,3,2
27541828,Grassland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,4,4,2,2
27661882,Woodland,Forestry,4,3,3,4,4,4,4,4,2
28562290,Woodland,Semi-natural and natural areas not in use,4,4,4,4,4,3,4,4,1
27501802,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,3,3,4,4,2
28762374,Woodland,Forestry,4,4,4,4,2,4,4,4,1
27741908,Grassland,Fallow land,3,1,4,4,4,4,4,2,2
27541810,Woodland,Forestry,3,3,4,4,3,4,4,2,2
28202116,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,4,2,4,4,1
27561812,Woodland,Forestry,2,2,2,4,3,2,4,2,2
27501780,Shrubland,Other abandoned areas,2,1,4,4,4,2,4,4,2
28102060,Woodland,Forestry,4,4,1,4,3,4,4,1,1
27421740,Woodland,Forestry,1,2,3,4,4,3,4,4,3
27741890,Grassland,Fallow land,1,1,3,4,1,3,4,4,2
27541792,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,1,1,4,3,2,4,4,2
28282136,Woodland,Forestry,4,4,1,4,3,4,4,4,1
27921970,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,4,4,4,1,2
27781902,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,3,4,2,1
28742340,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,4,2,4,4,2
27901954,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,2,4,3,3,4,4,3
27881938,Woodland,Forestry,2,2,3,4,3,4,4,4,2
27741866,Woodland,Forestry,3,3,2,4,4,4,4,4,1
28902396,Woodland,Forestry,4,4,4,4,3,4,4,4,1
28482206,Shrubland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,2,4,4,4,1
28142050,Woodland,Forestry,4,4,4,4,3,4,4,4,1
27601794,Shrubland,Semi-natural and natural areas not in use,2,2,3,4,4,3,4,3,2
28362148,Woodland,Forestry,4,3,4,4,3,4,4,1,1
27981972,Grassland,Forestry,2,1,4,4,3,3,4,4,1
28262098,Woodland,Forestry,4,4,4,4,2,4,4,4,1
28782334,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,4,4,4,1
28602250,Grassland,Fallow land,4,4,4,4,2,4,4,4,1
27821886,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,3,4,3,2
28722300,Woodland,Forestry,4,3,4,4,3,4,4,4,1
28662272,Grassland,Fallow land,3,1,4,4,4,1,4,4,1
28182048,Woodland,Forestry,4,4,2,4,3,4,4,2,1
28122020,Woodland,Forestry,1,1,3,4,2,4,4,2,1
28542210,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,2,3,4,4,1
28262080,Shrubland,Other abandoned areas,4,4,4,4,2,4,4,4,1
28622242,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,3,3,4,4,1
28742296,Woodland,Forestry,4,4,2,4,3,4,4,4,1
28642250,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,3,3,4,2,1
27741830,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,2,4,4,4,3,4,2,3
29002406,Woodland,Forestry,4,4,3,4,3,4,4,4,1
28942378,Woodland,Forestry,4,4,2,4,2,4,4,4,1
28602222,Grassland,Semi-natural and natural areas not in use,3,3,4,4,4,2,4,4,3
29042420,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,3,4,4,4,1
28542192,Bareland,Semi-natural and natural areas not in use,4,4,4,4,3,3,4,4,1
28782298,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1
28762288,Woodland,Semi-natural and natural areas not in use,4,4,2,4,3,4,4,3,1
28262056,Woodland,Forestry,4,4,3,4,2,4,4,4,1
28242042,Grassland,Forestry,2,1,3,4,2,4,4,1,1
28582198,Woodland,Semi-natural and natural areas not in use,4,3,3,4,3,4,4,4,1
28882332,Shrubland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1
27641752,Woodland,Forestry,3,3,3,4,4,4,4,4,1
27821838,Grassland,Fallow land,1,2,3,4,4,4,4,4,3
28382100,Shrubland,Forestry,4,4,4,4,3,4,4,4,1
29082418,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1
28782280,Shrubland,Forestry,4,4,3,4,3,4,4,4,1
29142438,Shrubland,Other abandoned areas,4,4,3,4,3,4,4,4,1
28282042,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,4,4,2,1
27801810,Woodland,Forestry,4,4,4,4,4,4,4,1,1
27881848,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,2,4,4,3,4,4,3
28962348,Woodland,Forestry,4,4,4,4,2,4,4,4,1
27781794,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,3,4,3,3,4,1,2
27841822,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,3,3,4,4,3,4,4,2
28622188,Woodland,Forestry,4,3,2,4,3,4,4,4,1
28862294,Shrubland,Semi-natural and natural areas not in use,4,4,1,4,2,4,4,4,1
28542144,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1
27921848,Grassland,Fallow land,2,3,3,4,4,4,4,4,3
28642186,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,4,4,4,1,1
28882296,Woodland,Forestry,4,4,3,4,3,4,4,4,1
29082382,Woodland,Forestry,4,4,2,4,4,4,4,4,1
28722216,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,3,4,2,4,4,4,1
28181964,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,3,4,4,4,2
29042356,Woodland,Forestry,4,4,4,4,4,4,4,4,1
28942306,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,1
28402054,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,4,3,4,4,1
28722202,Shrubland,Other abandoned areas,3,1,2,4,4,3,4,3,1
28522106,Woodland,Forestry,4,4,4,4,3,4,4,4,1
28201948,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,4,4,4,4,2
27961830,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,4,4,4,2
28822226,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,3,4,4,1,1
27921800,Woodland,Forestry,2,2,4,4,4,4,4,4,1
29082342,Woodland,Semi-natural and natural areas not in use,4,4,2,4,4,4,4,4,1
28762194,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,4,3,4,2,2
28662146,Grassland,Semi-natural and natural areas not in use,4,3,4,4,3,4,4,4,1
28001832,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,4,3,4,4,4
29322442,Woodland,Forestry,4,4,1,4,2,4,4,4,1
28722166,Shrubland,Semi-natural and natural areas not in use,4,2,2,4,2,4,4,4,1
28241938,Woodland,Forestry,1,2,3,4,4,4,4,4,2
29222392,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,4,1
28281952,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,2,1,4,3,4,4,1,2
31523384,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,1
29122342,Woodland,Forestry,4,4,3,4,2,4,4,4,1
29102326,Woodland,Forestry,4,4,2,4,2,4,4,4,1
28101854,Woodland,Forestry,1,2,3,4,4,3,4,2,2
29182358,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,4,4,4,2
28762162,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,2,4,1,2
28722138,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,2,4,4,1
28502024,Woodland,Forestry,2,1,4,4,3,2,4,4,2
28962240,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,4,4,4,1,1
29082288,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,3,4,4,2,1
28902202,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,3,4,4,3,4,4,1
31983538,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,4
28962222,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,3,4,4,1
31703420,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,1
28542018,Woodland,Forestry,3,1,3,4,3,2,4,4,2
28662074,Woodland,Forestry,4,3,4,4,3,4,4,4,1
29242344,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,3,4,1
29122288,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,1,4,3,4,4,4,1
29402410,Woodland,Forestry,4,4,1,4,2,4,4,4,1
29262342,Woodland,Forestry,3,3,1,4,3,4,4,2,1
28862140,Shrubland,Semi-natural and natural areas not in use,3,2,4,4,4,3,4,4,2
29482428,Woodland,Forestry,4,4,4,4,3,4,4,4,1
28822118,Cropland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,4,3,4,4,1
29162278,Shrubland,Semi-natural and natural areas not in use,4,3,4,4,4,4,4,4,1
29302338,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
28802092,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,2,4,3,2,4,4,1
29262306,Woodland,Forestry,4,4,3,4,3,4,4,4,1
29082220,Grassland,Fallow land,3,2,4,4,4,4,4,4,2
29222276,Shrubland,Semi-natural and natural areas not in use,4,4,3,4,4,4,4,4,1
31803412,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,4
29322312,Woodland,Forestry,4,4,1,4,2,4,4,4,1
29102206,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,3,2,4,4,2
32483682,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,4,2,4,2,2
29262270,Shrubland,Semi-natural and natural areas not in use,4,3,3,4,3,3,4,4,2
31963440,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,4,3,4,3,3
32463644,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1
28301756,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,4,4,4,4
29182186,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,3,4,1,2
29222204,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,1,4,3,4,4,1,3
29542352,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,4,1
28621900,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,4,3
28681916,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,2,4,1,3
29662386,Bareland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,3,1
28721932,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,2,4,1,3
29402258,Woodland,Forestry,4,4,4,4,3,4,4,2,1
29502304,Woodland,Forestry,4,4,4,4,4,4,4,4,2
29122112,Grassland,Agriculture (excluding fallow land and kitchen gardens),1,2,2,4,3,4,4,2,1
28441774,Shrubland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,2
29422254,Woodland,Forestry,4,4,1,4,3,4,4,2,1
29142114,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,3,4,4,4,4,4,1
28421754,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,4,2
29342206,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,4,3,4,4,2
32543634,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
29342200,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,3,4,4,1,2
29382218,Bareland,Fallow land,3,2,4,4,3,3,4,4,1
29582312,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,4,3,4,4,1
29462254,Shrubland,Semi-natural and natural areas not in use,4,4,2,4,3,4,4,4,1
28761906,Bareland,Fallow land,1,1,4,4,4,4,4,3,4
29122076,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,3,4,4,1
29182100,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,1,4,1,2
29382188,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,3,4,2,4,4,2,2
29542262,Woodland,Forestry,3,2,4,4,4,4,4,4,2
28501736,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,1,4,4,4,4,4,4
29582266,Shrubland,Semi-natural and natural areas not in use,4,4,3,4,3,4,4,4,1
29822380,Woodland,Forestry,4,4,4,4,3,4,4,4,1
32243468,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,4,1,4,4,2
29342128,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,4,3,4,2,2
29722312,Woodland,Forestry,4,4,4,4,4,3,4,4,1
29702300,Shrubland,Semi-natural and natural areas not in use,3,3,4,4,4,2,4,4,1
29282088,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,2,4,4,3,3,4,3,1
29402144,Woodland,Forestry,4,2,4,4,4,4,4,2,1
29742308,Woodland,Forestry,3,3,4,4,4,3,4,4,1
32383504,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,1
29562218,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,3,4,4,4,3,4,4,2
29942392,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1
28921890,Grassland,Fallow land,1,1,4,4,4,3,4,4,2
29382110,Bareland,Fallow land,3,2,4,4,4,3,4,4,2
28941888,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,3,4,4,2
29702264,Woodland,Forestry,4,4,3,4,3,4,4,4,1
30022410,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,1
30002398,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,3,4,4,4,1
28901850,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,3,4,3,4,4,1,4
30002386,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,3,4,3,4,4,4,4
28601668,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,1,2
29041888,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,2,4,4,3,4,4,3
32423468,Shrubland,Agriculture (excluding fallow land and kitchen gardens),4,4,3,4,3,4,4,4,1
28661678,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,4,4,2,3
29962314,Woodland,Forestry,4,4,2,4,3,4,4,4,1
29482076,Woodland,Forestry,4,4,1,4,3,4,4,4,1
29682168,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,4,4,3,2,4,2,1
28721676,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,2,2,4,4,3,4,1,2
29922282,Shrubland,Semi-natural and natural areas not in use,4,4,1,4,3,4,4,1,1
30042340,Shrubland,Semi-natural and natural areas not in use,4,4,4,4,4,4,4,4,1
30102368,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
29181908,Bareland,Fallow land,2,1,4,4,3,3,4,2,2
29722178,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,2,3,4,4,3,4,4,2
29902262,Woodland,Forestry,4,4,1,4,3,3,4,4,1
33023682,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,3,4,1
29702138,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,1,4,4,3,2,4,4,1
29962260,Grassland,Fallow land,3,2,4,4,3,2,4,4,1
29642098,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,2,3,4,3,4,4,4,2
30282408,Woodland,Forestry,3,3,3,4,3,4,4,4,1
29702110,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,3,4,4,4,4,4,4,2
29922218,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,3,4,4,3,4,4,4,1
29982246,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,3,4,2,4
29942222,Bareland,Protection infrastructures,3,3,1,4,2,3,4,4,1
29842170,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,3,4,2,2
28941694,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,2,4,3,2
30122298,Shrubland,Semi-natural and natural areas not in use,3,2,4,4,3,2,4,4,1
28801616,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,3,4,4,4,4,1,2
30182326,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,3,4,3,4,4,4,2
30082276,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,2,4,4,4,2,4,2,2
30122294,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,3,2,4,1,1
30042244,Bareland,Fallow land,1,1,4,4,4,3,4,4,2
29261832,Bareland,Fallow land,1,1,4,4,4,3,4,2,3
30162292,Woodland,Forestry,3,2,1,4,4,3,4,4,1
29281840,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,3,4,1,3
30122270,Woodland,Forestry,3,3,3,4,4,4,4,4,2
30382396,Woodland,Forestry,4,4,3,4,2,4,4,4,1
30042222,Grassland,Fallow land,1,1,4,4,3,4,4,4,2
29081716,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,2,4,1,2
30042214,Woodland,Forestry,1,1,1,4,4,2,4,4,1
30122252,Cropland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,3,4,1,4
30262322,Cropland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,2
30322350,Grassland,Agriculture (excluding fallow land and kitchen gardens),3,4,4,4,4,4,4,4,3
29021666,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,2,3,4,4,3,4,1,3
30102228,Grassland,Fallow land,1,1,2,4,4,3,4,2,2
30282318,Woodland,Semi-natural and natural areas not in use,3,3,4,4,4,4,4,4,1
29982166,Grassland,Agriculture (excluding fallow land and kitchen gardens),2,1,4,4,4,2,4,2,1
29161738,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,1,4,4,4,4,1,2
29922134,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,1,4,1,4
29021660,Cropland,Agriculture (excluding fallow land and kitchen gardens),1,1,4,4,4,2,4,2,2
33003590,Grassland,Agriculture (excluding fallow land and kitchen gardens),4,4,4,4,4,4,4,4,2
